iter,sampled_steps,episodes,reward_mean,ep_len_mean,win_rate,loss_rate,timeout_rate,crash_rate,ep_wez_steps,ep_mean_distance,ep_min_distance,ep_reward_pursuit,ep_reward_damage,ep_reward_safety,ep_reward_energy_throttle,ep_reward_survival,ep_reward_merge_cross,ep_reward_merge_handoff,ep_reward_merge_handoff_once,ep_reward_merge_turnin,ep_reward_reacquire_turnin,ep_reward_merge_stalemate,ep_reward_attack_band,ep_reward_front_hold,ep_reward_aim_hold,ep_reward_angle_advantage,ep_reward_angle_advantage_progress,ep_reward_cutin_success,ep_reward_cutin_control,ep_reward_terminal_angle_gain,ep_reward_terminal_ata_gain,ep_reward_range_progress,ep_reward_lost,ep_altitude_penalty_steps,initial_scenario_index,initial_alpha_deg,initial_ata_deg,initial_aa_deg,initial_distance_m,final_ata_deg,final_aa_deg,headon_guard_fail,cutin_handback_success,bt_preroll_detected,action_roll_mean,action_pitch_mean,action_rudder_mean,action_throttle_mean,action_roll_std,action_pitch_std,action_rudder_std,action_throttle_std,action_sat_rate,policy_loss,vf_loss,entropy,kl,clip_frac,explained_var,actor_loss,critic_loss,alpha_loss,alpha,target_entropy,curriculum_actor_frozen,curriculum_fresh_steps,curriculum_actor_update_applied,curriculum_learner_updates,curriculum_actor_anchor_mse,curriculum_actor_anchor_loss,curriculum_gunline_fraction,curriculum_actor_anchor_fraction,curriculum_residual_gate_fraction,curriculum_residual_mean_abs_delta,curriculum_counter_rate_fraction,curriculum_counter_rate_logit_error,curriculum_counter_rate_logit_loss,replay_buffer_size,replay_buffer_memory_mb,env_steps_per_sec,learner_steps_per_sec,iteration_time_s,ep_reward_alignment_progress,ep_reward_alt_advantage,ep_reward_attack_funnel,ep_reward_close_overspeed,ep_reward_cutin_tail_hold,ep_reward_cutin_tail_hold_progress,ep_reward_danger_exposure,ep_reward_escape_opening,ep_reward_far_range,ep_reward_first_blood,ep_reward_gun_window,ep_reward_overshoot,ep_reward_phase_gate,ep_reward_projected_deck_risk,ep_reward_reacquire,ep_reward_step,ep_reward_terminal,ep_reward_terminal_cone
10,36000.0,18.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-27.7418176612854,0.2147275142967701,-2365.850893066406,8.588419079387678e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11000,22.607616424560547,n/a,n/a,69.0385730266571,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,37000.0,19.0,2124.555411810092,2000.0,0.0,0.0,1.0,0.0,0.0,971.4963570363675,241.11272428316565,n/a,-3.4746639613702284,-0.06378463666666655,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.08389844102442,348.5513076621573,1324.9562075209806,123.34275608744204,0.0,n/a,0.0,0.0,10.48461145341886,0.0,41.0,0.0,n/a,172.57660277610128,163.31199203988268,734.4450604169732,5.021865552672284,20.487865552672247,0.0,0.0,0.0,-0.10850238054990768,0.7430261969566345,-0.8769587278366089,0.5360241532325745,0.8275437355041504,0.5726878046989441,0.4699030816555023,0.8049166798591614,0.711125,n/a,n/a,n/a,n/a,n/a,n/a,-29.53637551498413,0.17824587969481945,-2404.3375541992186,8.464566662951257e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12000,22.76736831665039,n/a,n/a,82.62014126777649,19.945336040296358,-48.17834641679985,93.0992113947329,0.0,0.0,0.0,-55.5,0.0,0.0,0.0,0.0,0.0,125.30887822483353,0.0,0.0,-10.000000000000163,0.0,0.0
12,38000.0,20.0,1935.0971447551792,2000.0,0.0,0.0,1.0,0.0,21.0,1238.3581078610794,249.11169944356357,n/a,-10.494656218585924,-1.0419979367999996,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.8679012691323,301.57801255056825,1379.5345715670499,108.3156353614999,0.0,n/a,0.0,0.0,2.5699229220701536,0.0,184.0,2.0,n/a,155.73742617143088,157.55251333084718,660.7608674756193,14.798964245080299,12.4900357549197,0.0,0.0,0.0,-0.1452675461769104,0.4378008544445038,-0.802975594997406,0.40992653369903564,0.8294642567634583,0.817908525466919,0.5721901059150696,0.8840546011924744,0.701875,n/a,n/a,n/a,n/a,n/a,n/a,-26.956177589416505,0.17556798541545868,-2485.5465239257815,8.337776176631451e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13000,22.92727279663086,n/a,n/a,58.75578451156616,15.959433928913755,-31.962192260400077,20.82296859200765,0.0,0.0,0.0,-58.5,0.0,0.0,0.0,0.0,0.0,40.44754497967763,0.0,0.0,-10.000000000000163,0.0,0.0
13,39000.0,20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-25.91517670440674,0.1859015805721283,-2470.5689990234373,8.21255912524066e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14000,23.08749008178711,n/a,n/a,63.6129412651062,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,40000.0,20.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-23.955757846832274,0.18561345392465592,-2458.5143369140624,8.090435125268414e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15000,23.247318267822266,n/a,n/a,69.64879441261292,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,41000.0,21.0,432.3937855332974,2000.0,0.0,0.0,1.0,0.0,2.0,1424.0635757715293,193.7022184797035,n/a,3.217998650666014,-3.9942916777333295,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.027641425259652,24.9290711692563,507.85070984986396,82.9193893064044,0.0,n/a,0.0,0.0,-27.76287076660163,0.0,181.0,0.0,n/a,176.3799993409159,167.13448600954447,438.56956911662917,32.12140831931414,66.20959168068588,0.0,0.0,0.0,-0.3517686426639557,0.889945924282074,-0.4080749452114105,0.22066092491149902,0.7839629054069519,0.41882649064064026,0.8937737345695496,0.9490571022033691,0.7895,n/a,n/a,n/a,n/a,n/a,n/a,-17.59756614112854,0.18788407948613167,-2526.26849609375,7.969252515977132e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16000,23.406993865966797,n/a,n/a,81.493408203125,14.995628625463207,-62.43124074899997,3.404597757412875,0.0,0.0,0.0,-121.5,0.0,0.0,0.0,0.0,0.0,4.737151942308939,0.0,0.0,-10.000000000000163,0.0,0.0
16,42000.0,22.0,468.3998529746607,2000.0,0.0,0.0,1.0,0.0,0.0,1570.933547503909,75.9816641843374,n/a,-4.156342254800574,-6.959445733999998,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.616345534181846,55.79803943086467,423.5957616733938,39.63607329232596,0.0,n/a,0.0,0.0,-22.779094422885017,0.0,345.0,1.0,n/a,160.67311869322404,151.00024071304227,814.5216997676556,124.38057568695565,126.47242431304433,0.0,0.0,0.0,-0.05965728312730789,0.8434963822364807,-0.20743077993392944,0.14745748043060303,0.8411630392074585,0.4983329474925995,0.9542482495307922,0.9600166082382202,0.753,n/a,n/a,n/a,n/a,n/a,n/a,-15.733325057983398,0.18329189950227737,-2596.146335449219,7.847548222343903e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17000,23.56747817993164,n/a,n/a,59.20363473892212,6.0225573999907835,-10.001024076899993,12.461162218480538,0.0,0.0,0.0,-61.5,0.0,0.0,0.0,0.0,0.0,14.665819914011138,0.0,0.0,-10.000000000000163,0.0,0.0
17,43000.0,22.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-19.17973466205597,0.18646579793095588,-2566.8228203125,7.728308475634549e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18000,23.727230072021484,n/a,n/a,62.49961733818054,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,44000.0,22.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-16.76242435455322,0.18040629908442496,-2588.57853515625,7.611787580572127e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,19000,23.887523651123047,n/a,n/a,69.33486270904541,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,45000.0,23.0,1045.6428963776432,2000.0,0.0,0.0,1.0,0.0,0.0,1475.316669672681,236.14224166482475,n/a,-4.87313502084496,-0.18737001826666622,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.68281028621806,125.98982505752195,938.2609775525628,73.49010067579626,0.0,n/a,0.0,0.0,-21.896678710859145,0.0,87.0,1.0,n/a,143.47055328929073,138.56642924606726,625.0571141005876,20.154386611513736,62.1463866115138,0.0,0.0,0.0,-0.3366844058036804,0.691483736038208,-0.6668272614479065,0.3042552173137665,0.7778323292732239,0.6734308004379272,0.7273181676864624,0.9223474264144897,0.745,n/a,n/a,n/a,n/a,n/a,n/a,-14.280876238822938,0.17772563752532006,-2636.153335449219,7.496549464121926e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20000,24.04727554321289,n/a,n/a,83.87420010566711,13.828620817332594,-75.47354478540005,0.0,0.0,0.0,0.0,-64.5,0.0,0.0,0.0,0.0,0.0,3.3212905235591466,0.0,0.0,-10.000000000000163,0.0,0.0
