[08-24 06:48:09] [F2-guard] start threshold=0.82 min=80 plateau=25 parent=C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\F2_transferb\bundle_000090
[08-24 06:48:09] [F2-guard] F2_guard launch (peak-bundle transfer, cap=180, min=80) <- C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\F2_transferb\bundle_000090
[08-24 10:02:23] [F2-guard] F2_guard iter=134 score=0.904 transfer=1.000 threat=0.995 incoming=0.838 survival=0.950 offense=0.716 plateau=54
[08-24 10:06:23] [F2-guard] F2_guard iter=136 score=0.889 transfer=1.000 threat=0.995 incoming=0.752 survival=1.000 offense=0.690 plateau=56
[08-24 10:08:23] [F2-guard] F2_guard iter=138 score=0.884 transfer=1.000 threat=0.995 incoming=0.752 survival=1.000 offense=0.590 plateau=58
[08-24 10:12:24] [F2-guard] F2_guard iter=140 score=0.895 transfer=1.000 threat=0.995 incoming=0.780 survival=1.000 offense=0.674 plateau=60
[08-24 10:14:24] [F2-guard] F2_guard iter=142 score=0.905 transfer=1.000 threat=0.995 incoming=0.843 survival=1.000 offense=0.574 plateau=62
[08-24 10:18:24] [F2-guard] F2_guard iter=144 score=0.901 transfer=1.000 threat=0.995 incoming=0.855 survival=1.000 offense=0.474 plateau=64
[08-24 10:20:24] [F2-guard] F2_guard iter=146 score=0.909 transfer=1.000 threat=0.996 incoming=0.872 survival=1.000 offense=0.539 plateau=66
[08-24 10:24:24] [F2-guard] F2_guard iter=148 score=0.891 transfer=1.000 threat=0.996 incoming=0.800 survival=1.000 offense=0.512 plateau=68
[08-24 10:28:25] [F2-guard] F2_guard iter=150 score=0.885 transfer=1.000 threat=0.997 incoming=0.800 survival=1.000 offense=0.412 plateau=70
[08-24 10:30:25] [F2-guard] F2_guard iter=152 score=0.891 transfer=1.000 threat=0.996 incoming=0.800 survival=1.000 offense=0.512 plateau=72
[08-24 10:34:25] [F2-guard] F2_guard iter=154 score=0.890 transfer=1.000 threat=0.996 incoming=0.800 survival=1.000 offense=0.512 plateau=74
[08-24 10:36:25] [F2-guard] F2_guard iter=156 score=0.898 transfer=1.000 threat=0.996 incoming=0.852 survival=1.000 offense=0.438 plateau=76
[08-24 10:40:25] [F2-guard] F2_guard iter=158 score=0.904 transfer=1.000 threat=0.996 incoming=0.852 survival=1.000 offense=0.538 plateau=78
[08-24 10:42:26] [F2-guard] F2_guard iter=160 score=0.895 transfer=1.000 threat=0.996 incoming=0.811 survival=1.000 offense=0.554 plateau=80
[08-24 10:46:26] [F2-guard] F2_guard iter=162 score=0.901 transfer=1.000 threat=0.996 incoming=0.811 survival=1.000 offense=0.654 plateau=82
[08-24 10:48:26] [F2-guard] F2_guard iter=164 score=0.908 transfer=1.000 threat=0.995 incoming=0.811 survival=1.000 offense=0.754 plateau=84
[08-24 10:52:26] [F2-guard] F2_guard iter=166 score=0.903 transfer=1.000 threat=0.995 incoming=0.811 survival=1.000 offense=0.683 plateau=86
[08-24 10:54:26] [F2-guard] F2_guard iter=168 score=0.924 transfer=1.000 threat=0.995 incoming=0.911 survival=1.000 offense=0.629 plateau=88
[08-24 10:58:27] [F2-guard] F2_guard iter=170 score=0.930 transfer=1.000 threat=0.995 incoming=0.911 survival=1.000 offense=0.729 plateau=90
[08-24 11:02:27] [F2-guard] F2_guard iter=173 score=0.927 transfer=1.000 threat=0.995 incoming=0.901 survival=1.000 offense=0.729 plateau=93
[08-24 11:08:27] [F2-guard] F2_guard iter=176 score=0.940 transfer=1.000 threat=0.995 incoming=0.950 survival=1.000 offense=0.755 plateau=96
[08-24 11:10:28] [F2-guard] F2_guard iter=177 score=0.917 transfer=1.000 threat=0.994 incoming=0.850 survival=1.000 offense=0.755 plateau=97
[08-24 11:12:49] [F2-guard] F2_guard below gate; starting one full-state continuation
[08-24 11:12:49] [F2-guard] F2_guardb launch (full-state continuation, cap=180, min=80) <- C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\checkpoints\team01\F2_guard\checkpoint_final
[08-24 12:08:53] [F2-guard] F2_guardb iter=39 score=0.941 transfer=1.000 threat=1.000 incoming=1.000 survival=0.950 offense=0.657 plateau=0
[08-24 12:14:53] [F2-guard] F2_guardb iter=43 score=0.938 transfer=1.000 threat=1.000 incoming=1.000 survival=0.950 offense=0.592 plateau=4
[08-24 12:18:54] [F2-guard] F2_guardb iter=47 score=0.934 transfer=1.000 threat=1.000 incoming=1.000 survival=0.950 offense=0.532 plateau=8
[08-24 12:24:54] [F2-guard] F2_guardb iter=51 score=0.947 transfer=1.000 threat=1.000 incoming=1.000 survival=1.000 offense=0.603 plateau=0
[08-24 12:30:54] [F2-guard] F2_guardb iter=55 score=0.943 transfer=1.000 threat=1.000 incoming=1.000 survival=1.000 offense=0.531 plateau=4
[08-24 12:36:55] [F2-guard] F2_guardb iter=59 score=0.940 transfer=1.000 threat=1.000 incoming=1.000 survival=1.000 offense=0.489 plateau=8
[08-24 12:42:55] [F2-guard] F2_guardb iter=63 score=0.944 transfer=1.000 threat=1.000 incoming=1.000 survival=1.000 offense=0.552 plateau=12
[08-24 12:46:55] [F2-guard] F2_guardb iter=67 score=0.947 transfer=1.000 threat=1.000 incoming=1.000 survival=1.000 offense=0.593 plateau=1
[08-24 12:50:56] [F2-guard] F2_guardb iter=70 score=0.947 transfer=1.000 threat=0.999 incoming=1.000 survival=1.000 offense=0.593 plateau=4
[08-24 12:52:56] [F2-guard] F2_guardb iter=71 score=0.950 transfer=1.000 threat=0.999 incoming=1.000 survival=1.000 offense=0.640 plateau=0
[08-24 12:56:56] [F2-guard] F2_guardb iter=74 score=0.947 transfer=1.000 threat=0.999 incoming=0.970 survival=1.000 offense=0.705 plateau=3
[08-24 12:58:56] [F2-guard] F2_guardb iter=75 score=0.948 transfer=1.000 threat=0.999 incoming=0.970 survival=1.000 offense=0.736 plateau=4
[08-24 13:02:57] [F2-guard] F2_guardb iter=78 score=0.949 transfer=1.000 threat=0.999 incoming=0.970 survival=1.000 offense=0.736 plateau=7
[08-24 13:04:57] [F2-guard] F2_guardb iter=79 score=0.953 transfer=1.000 threat=0.999 incoming=0.970 survival=1.000 offense=0.807 plateau=0
[08-24 13:08:57] [F2-guard] F2_guardb iter=82 score=0.951 transfer=1.000 threat=0.999 incoming=0.970 survival=1.000 offense=0.778 plateau=0
[08-24 13:10:57] [F2-guard] F2_guardb iter=83 score=0.945 transfer=1.000 threat=1.000 incoming=0.970 survival=1.000 offense=0.678 plateau=1
[08-24 13:14:57] [F2-guard] F2_guardb iter=86 score=0.945 transfer=1.000 threat=1.000 incoming=0.970 survival=1.000 offense=0.678 plateau=4
[08-24 13:16:57] [F2-guard] F2_guardb iter=87 score=0.948 transfer=1.000 threat=1.000 incoming=0.970 survival=1.000 offense=0.729 plateau=5
[08-24 13:20:58] [F2-guard] F2_guardb iter=90 score=0.948 transfer=1.000 threat=1.000 incoming=0.970 survival=1.000 offense=0.729 plateau=8
[08-24 13:22:58] [F2-guard] F2_guardb iter=91 score=0.950 transfer=1.000 threat=1.000 incoming=0.970 survival=1.000 offense=0.751 plateau=9
[08-24 13:26:58] [F2-guard] F2_guardb iter=94 score=0.956 transfer=1.000 threat=1.000 incoming=1.000 survival=1.000 offense=0.751 plateau=0
[08-24 13:28:58] [F2-guard] F2_guardb iter=95 score=0.952 transfer=1.000 threat=1.000 incoming=1.000 survival=1.000 offense=0.680 plateau=1
[08-24 13:32:58] [F2-guard] F2_guardb iter=98 score=0.952 transfer=1.000 threat=1.000 incoming=1.000 survival=1.000 offense=0.680 plateau=4
[08-24 13:34:59] [F2-guard] F2_guardb iter=100 score=0.945 transfer=1.000 threat=1.000 incoming=1.000 survival=1.000 offense=0.552 plateau=6
[08-24 13:36:59] [F2-guard] F2_guardb iter=101 score=0.904 transfer=1.000 threat=1.000 incoming=0.900 survival=0.900 offense=0.552 plateau=7
[08-24 13:40:59] [F2-guard] F2_guardb iter=104 score=0.902 transfer=1.000 threat=1.000 incoming=0.900 survival=0.900 offense=0.526 plateau=10
[08-24 13:42:59] [F2-guard] F2_guardb iter=105 score=0.899 transfer=1.000 threat=1.000 incoming=0.900 survival=0.900 offense=0.474 plateau=11
[08-24 13:46:59] [F2-guard] F2_guardb iter=108 score=0.893 transfer=1.000 threat=1.000 incoming=0.900 survival=0.900 offense=0.392 plateau=14
[08-24 13:48:59] [F2-guard] F2_guardb iter=109 score=0.887 transfer=1.000 threat=1.000 incoming=0.900 survival=0.900 offense=0.292 plateau=15
[08-24 13:53:00] [F2-guard] F2_guardb iter=112 score=0.881 transfer=1.000 threat=1.000 incoming=0.900 survival=0.900 offense=0.192 plateau=18
[08-24 13:55:00] [F2-guard] F2_guardb iter=113 score=0.880 transfer=1.000 threat=0.999 incoming=0.892 survival=0.900 offense=0.209 plateau=19
[08-24 13:59:00] [F2-guard] F2_guardb iter=116 score=0.878 transfer=1.000 threat=0.999 incoming=0.892 survival=0.900 offense=0.181 plateau=22
[08-24 14:01:00] [F2-guard] F2_guardb iter=117 score=0.878 transfer=1.000 threat=0.999 incoming=0.892 survival=0.900 offense=0.181 plateau=23
[08-24 14:05:00] [F2-guard] F2_guardb iter=120 score=0.884 transfer=1.000 threat=0.999 incoming=0.892 survival=0.900 offense=0.281 plateau=26
[08-24 14:11:01] [F2-guard] F2_guardb iter=124 score=0.931 transfer=1.000 threat=0.999 incoming=0.992 survival=1.000 offense=0.381 plateau=30
[08-24 14:11:01] [F2-guard] F2_guardb qualified and plateaued; requesting graceful stop at iter=124
[08-24 14:12:22] [F2-guard] F2_guardb promoted from peak iter=94.0 score=0.9564242976934537 bundle=C:\Users\JUN\Desktop\airop\Release_260722_plz\artifacts\models\team01\F2_guardb\bundle_000090
[08-24 14:12:22] [F2-guard] resuming the original F ladder at F3
