iter,sampled_steps,episodes,reward_mean,ep_len_mean,win_rate,loss_rate,timeout_rate,crash_rate,ep_wez_steps,ep_mean_distance,ep_min_distance,ep_reward_pursuit,ep_reward_damage,ep_reward_safety,ep_reward_energy_throttle,ep_reward_survival,ep_reward_merge_cross,ep_reward_merge_handoff,ep_reward_merge_handoff_once,ep_reward_merge_turnin,ep_reward_reacquire_turnin,ep_reward_merge_stalemate,ep_reward_attack_band,ep_reward_front_hold,ep_reward_aim_hold,ep_reward_angle_advantage,ep_reward_angle_advantage_progress,ep_reward_cutin_success,ep_reward_cutin_control,ep_reward_terminal_angle_gain,ep_reward_terminal_ata_gain,ep_reward_range_progress,ep_reward_lost,ep_altitude_penalty_steps,initial_scenario_index,initial_alpha_deg,initial_ata_deg,initial_aa_deg,initial_distance_m,final_ata_deg,final_aa_deg,headon_guard_fail,cutin_handback_success,bt_preroll_detected,action_roll_mean,action_pitch_mean,action_rudder_mean,action_throttle_mean,action_roll_std,action_pitch_std,action_rudder_std,action_throttle_std,action_sat_rate,policy_loss,vf_loss,entropy,kl,clip_frac,explained_var,actor_loss,critic_loss,alpha_loss,alpha,target_entropy,curriculum_actor_frozen,curriculum_fresh_steps,curriculum_actor_update_applied,curriculum_learner_updates,curriculum_actor_anchor_mse,curriculum_actor_anchor_loss,curriculum_gunline_fraction,curriculum_actor_anchor_fraction,curriculum_residual_gate_fraction,curriculum_residual_mean_abs_delta,curriculum_counter_rate_fraction,curriculum_counter_rate_logit_error,curriculum_counter_rate_logit_loss,replay_buffer_size,replay_buffer_memory_mb,env_steps_per_sec,learner_steps_per_sec,iteration_time_s,ep_reward_alignment_progress,ep_reward_alt_advantage,ep_reward_attack_funnel,ep_reward_bridge_entry,ep_reward_bridge_entry_once,ep_reward_bridge_stalemate,ep_reward_close_overspeed,ep_reward_cutin_tail_hold,ep_reward_cutin_tail_hold_progress,ep_reward_danger_exposure,ep_reward_escape_opening,ep_reward_far_range,ep_reward_first_blood,ep_reward_gun_window,ep_reward_incoming_damage,ep_reward_incoming_threat,ep_reward_incoming_warning,ep_reward_overshoot,ep_reward_phase_gate,ep_reward_projected_deck_risk,ep_reward_reacquire,ep_reward_step,ep_reward_terminal,ep_reward_terminal_cone
0,1000.0,0.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1000,20.41946506500244,n/a,n/a,17.78455090522766,,,,,,,,,,,,,,,,,,,,,,,,
1,2000.0,0.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-6.781356874690113,0.9175262782440717,-2089.824488666428,9.96205206653516e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,2000,20.675395965576172,n/a,n/a,80.51429009437561,,,,,,,,,,,,,,,,,,,,,,,,
2,3000.0,0.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-48.319115154266356,0.3553745744228363,-1863.8804272460939,9.8546895369509e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3000,20.906009674072266,n/a,n/a,131.46586394309998,,,,,,,,,,,,,,,,,,,,,,,,
3,4000.0,2.0,2825.5552786211447,2000.0,0.0,0.0,1.0,0.0,17.5,1044.3226651998605,114.02252284820568,n/a,20.03078195050875,0.0,n/a,n/a,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,175.93051893469925,517.0750360077429,1145.6221337574225,86.44979904237726,0.0,n/a,0.0,0.0,83.35529369879782,0.0,0.0,1.0,n/a,0.842761528995257,176.14209080383796,3194.139412663598,14.942013088293873,14.043987140564646,0.0,0.0,0.0,-0.05700734816491604,0.7637600898742676,-0.1039770096540451,0.6467483043670654,0.8713885247707367,0.5786270499229431,0.9628592133522034,0.7037865221500397,0.6970000000000001,n/a,n/a,n/a,n/a,n/a,n/a,-81.29206916046142,0.395880154132843,-1826.1308303222656,9.715637590488768e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,4000,21.06576156616211,n/a,n/a,203.46883034706116,0.03764759094546449,0.0,192.45785711308963,391.125,12.0,-3.600000000000003,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,-0.055772417222098775,-4.8,-5.4362555988855945,0.0,215.86323854163945,0.0,0.0,-10.000000000000163,0.0,0.0
4,5000.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-74.07800536346436,0.4988478994369507,-1975.072720703125,9.57161216319946e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5000,21.225666046142578,n/a,n/a,106.95596861839294,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
5,6000.0,2.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-65.36966157531738,0.4358319644331932,-2112.124924316406,9.419869344128529e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,6000,21.52646255493164,n/a,n/a,94.14256620407104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
6,7000.0,3.0,2902.565948083664,1453.0,1.0,0.0,0.0,0.0,75.0,1026.8732165257866,220.22228543160688,n/a,183.08796450906397,0.0,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.9641545479274,560.9189808286789,1008.327419073016,101.16283483797226,0.0,n/a,0.0,0.0,72.8334951856199,0.0,0.0,2.0,n/a,10.883894031582715,179.0547211079956,3010.1137833565076,0.5694263628568585,19.791426362856853,0.0,0.0,0.0,0.051064733415842056,0.7292400002479553,-0.6682983636856079,0.7813010215759277,0.8777214884757996,0.6022456884384155,0.706129789352417,0.5208310484886169,0.6598417068134893,n/a,n/a,n/a,n/a,n/a,n/a,-69.08985234069824,0.4234913689494133,-2138.3108630371094,9.272511628296343e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7000,21.686290740966797,n/a,n/a,90.18055129051208,1.1572556116401436,0.0,176.21926410946008,349.25,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,-1.6513257558307206,0.0,160.56090513609226,0.0,0.0,-7.264999999999867,100.0,0.0
7,8000.0,4.0,175.370296281662,1797.0,0.0,0.0,0.0,1.0,0.0,1352.446882212573,69.28457516370543,n/a,-46.086474408146934,-142.58478889199998,n/a,n/a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.25304016164662,11.738407589605025,359.6682343949153,8.192406201328366,0.0,n/a,0.0,0.0,-6.138269605071689,0.0,111.0,0.0,n/a,2.8103299803026913,178.3139591857127,3231.5229328364094,35.752424955181276,179.88342495518125,0.0,0.0,0.0,-0.23451435565948486,0.9543426632881165,-0.5305879712104797,0.43418774008750916,0.8259704113006592,0.276852011680603,0.837788462638855,0.8845113515853882,0.7975792988313857,n/a,n/a,n/a,n/a,n/a,n/a,-57.09290909576416,0.4326895368099213,-2257.8950295410154,9.126332095547695e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8000,21.846004486083984,n/a,n/a,75.9926118850708,-5.071063276412162,0.0,1.3222031657098576,223.0,12.0,-9.750000000000012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61.44863254419592,-17.600000000000005,-10.821397882398335,0.0,1.578009058245421,-41.89637768156251,0.0,-8.985000000000005,-100.0,0.0
8,9000.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-46.63078416061401,0.4202463185191154,-2341.8678056640624,8.98137285366829e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9000,22.006450653076172,n/a,n/a,67.86789655685425,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
9,10000.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-26.258364923477174,0.5082901489734649,-2460.645392089844,8.838409286909154e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,10000,22.166202545166016,n/a,n/a,72.70213389396667,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
