iter,sampled_steps,episodes,reward_mean,ep_len_mean,win_rate,loss_rate,timeout_rate,crash_rate,ep_wez_steps,ep_mean_distance,ep_min_distance,ep_reward_pursuit,ep_reward_damage,ep_reward_safety,ep_reward_energy_throttle,ep_reward_survival,ep_reward_merge_cross,ep_reward_merge_handoff,ep_reward_merge_handoff_once,ep_reward_merge_turnin,ep_reward_reacquire_turnin,ep_reward_merge_stalemate,ep_reward_attack_band,ep_reward_front_hold,ep_reward_aim_hold,ep_reward_angle_advantage,ep_reward_angle_advantage_progress,ep_reward_cutin_success,ep_reward_cutin_control,ep_reward_terminal_angle_gain,ep_reward_terminal_ata_gain,ep_reward_range_progress,ep_reward_lost,ep_altitude_penalty_steps,initial_scenario_index,initial_alpha_deg,initial_ata_deg,initial_aa_deg,initial_distance_m,final_ata_deg,final_aa_deg,headon_guard_fail,cutin_handback_success,bt_preroll_detected,action_roll_mean,action_pitch_mean,action_rudder_mean,action_throttle_mean,action_roll_std,action_pitch_std,action_rudder_std,action_throttle_std,action_sat_rate,policy_loss,vf_loss,entropy,kl,clip_frac,explained_var,actor_loss,critic_loss,alpha_loss,alpha,target_entropy,curriculum_actor_frozen,curriculum_fresh_steps,curriculum_actor_update_applied,curriculum_learner_updates,curriculum_actor_anchor_mse,curriculum_actor_anchor_loss,curriculum_gunline_fraction,curriculum_actor_anchor_fraction,curriculum_residual_gate_fraction,curriculum_residual_mean_abs_delta,curriculum_counter_rate_fraction,curriculum_counter_rate_logit_error,curriculum_counter_rate_logit_loss,replay_buffer_size,replay_buffer_memory_mb,env_steps_per_sec,learner_steps_per_sec,iteration_time_s,ep_reward_alignment_progress,ep_reward_alt_advantage,ep_reward_attack_funnel,ep_reward_bridge_entry,ep_reward_bridge_entry_once,ep_reward_bridge_stalemate,ep_reward_close_overspeed,ep_reward_cutin_tail_hold,ep_reward_cutin_tail_hold_progress,ep_reward_danger_exposure,ep_reward_escape_opening,ep_reward_far_range,ep_reward_first_blood,ep_reward_gun_window,ep_reward_overshoot,ep_reward_phase_gate,ep_reward_projected_deck_risk,ep_reward_reacquire,ep_reward_step,ep_reward_terminal,ep_reward_terminal_cone
10,11000.0,4.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-86.96751841735839,0.2586879403889179,-1829.3452121582031,8.77597522776341e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,11000,22.607677459716797,n/a,n/a,55.584715604782104,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,12000.0,6.0,2770.03437271239,2000.0,0.0,0.0,1.0,0.0,31.0,1120.2916659760467,241.7545395298156,n/a,6.125000112411931,0.0,n/a,n/a,0.0,0.0,0.0,0.0,586.5439856649288,0.0,0.0,167.67938208194525,402.5273601787067,1056.4351644350638,121.04091491816953,0.0,n/a,0.0,0.0,17.215752238620066,0.0,0.0,2.0,n/a,114.67826879233493,89.98281486482435,1313.6346725948172,4.698603157229484,47.77260315722948,0.0,0.0,0.0,-0.17208276689052582,0.7821218371391296,0.025954023003578186,0.42205965518951416,0.7367246448993683,0.4571727365255356,0.895132303237915,0.829296737909317,0.558875,n/a,n/a,n/a,n/a,n/a,n/a,-97.35810906982422,0.24729579484462738,-1796.7149655761718,8.648303984955418e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,12000,22.76742935180664,n/a,n/a,68.23063945770264,14.030775179965168,-7.121449009499982,26.80260809647236,361.75,12.0,-9.460000000000003,0.0,0.0,0.0,-50.09999999999988,0.0,0.0,0.0,0.0,0.0,74.56487881558171,0.0,0.0,-10.000000000000163,0.0,0.0
12,13000.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-92.96473234558106,0.24505207693576814,-1856.8376000976561,8.521839421518962e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,13000,22.92733383178711,n/a,n/a,48.380460023880005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,14000.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-84.38789268493652,0.3520222187936306,-1968.7940629882812,8.390135870286031e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,14000,23.08755111694336,n/a,n/a,52.58383131027222,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,15000.0,6.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-85.49591136169434,0.3807765738368034,-1975.653946044922,8.260058255473268e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,15000,23.247379302978516,n/a,n/a,57.89602327346802,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,16000.0,8.0,2188.3210522871223,2000.0,0.0,0.0,1.0,0.0,32.0,1040.5171043798025,208.46742864976767,n/a,6.051701556830866,-0.013119367999999926,n/a,n/a,0.0,0.0,0.0,0.0,512.9412351088977,0.0,0.0,121.13299268052727,248.8973915295768,774.765838817802,121.92462404857159,0.0,n/a,0.0,0.0,41.02722960242761,0.0,11.5,3.5,n/a,130.98930920079914,77.12939511240363,1955.253024260013,4.457600826466127,42.34460082646612,0.0,0.0,0.0,-0.21538018062710762,0.6293832659721375,-0.16372342105023563,0.36587463319301605,0.7845998406410217,0.6672557592391968,0.9288028180599213,0.8857278227806091,0.6758124999999999,n/a,n/a,n/a,n/a,n/a,n/a,-94.64903755187989,0.3820730169415474,-1896.546836669922,8.136302627463011e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,16000,23.407054901123047,n/a,n/a,67.89939475059509,14.857316254525085,-27.042431470349992,36.25012427536572,286.25,12.0,-13.75,0.0,0.0,0.0,-0.8999999999999999,0.0,0.0,0.0,0.0,0.0,63.92814925093129,0.0,0.0,-10.000000000000163,0.0,0.0
16,17000.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-91.62466255187988,0.36756601923704146,-1901.226412841797,8.017417057999409e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17000,23.56753921508789,n/a,n/a,47.4732825756073,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,18000.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-93.76040817260743,0.36559914886951445,-1926.602092529297,7.89749999421474e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,18000,23.727291107177734,n/a,n/a,52.633899450302124,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,19000.0,8.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,n/a,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,n/a,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,n/a,n/a,n/a,n/a,n/a,n/a,-99.43590441894531,0.27163124760985374,-1854.9792124023438,7.781428286762093e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,19000,23.887584686279297,n/a,n/a,58.60958194732666,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,20000.0,10.0,3051.3410997792816,2000.0,0.0,0.0,1.0,0.0,5.5,1135.4693446064034,369.16603327936446,n/a,0.04314811560882544,-1.9523153797999993,n/a,n/a,0.0,0.0,0.0,0.0,621.5591351459145,0.0,0.0,183.83021447119728,444.9974241354857,1145.2034834986193,121.50123329483743,0.0,n/a,0.0,0.0,39.98097018983106,0.0,85.5,2.5,n/a,126.18310124135525,79.70123119142926,1842.6236800477136,6.14549926306289,43.7434992630629,0.0,0.0,0.0,-0.11806651949882507,0.7094460725784302,0.08102381974458694,0.5418418198823929,0.7362335622310638,0.5693170428276062,0.8859391212463379,0.7403519451618195,0.509,n/a,n/a,n/a,n/a,n/a,n/a,-104.81775610351562,0.25886218166351316,-1778.9281977539063,7.670480298656911e-06,-4.0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,20000,24.04733657836914,n/a,n/a,76.86338758468628,14.9734643753166,-42.05773582650008,89.37254464180096,352.375,12.0,-6.599999999999999,0.0,0.0,0.0,-13.200000000000001,0.0,0.0,0.0,0.0,0.0,99.31453311693991,0.0,0.0,-10.000000000000163,0.0,0.0
